sigma_test,replica,v_score_standard,v_score_posenc
0.03974358974358974,0,6.984456957584153e-05,6.829905897299157e-05
0.03974358974358974,1,4.5352616738236567e-05,4.519193751553921e-05
0.03974358974358974,2,3.134032458033363e-05,4.06159262586043e-05
0.03974358974358974,3,4.5143897370368895e-05,5.453882792829026e-05
0.03974358974358974,4,2.934510725300139e-05,3.254978912408207e-05
0.03974358974358974,5,2.8014892801822143e-05,2.9550982517587793e-05
0.03974358974358974,6,2.282872520183943e-05,2.4425513070618977e-05
0.03974358974358974,7,3.464646168056797e-05,3.0926624198803236e-05
0.03974358974358974,8,3.1868556533361476e-05,4.0839732794100675e-05
0.03974358974358974,9,4.949494312209321e-05,6.524245932824876e-05
0.04717948717948718,0,3.833422329221337e-05,3.5344874897529606e-05
0.04717948717948718,1,6.515656983409808e-05,7.256157085466745e-05
0.04717948717948718,2,7.370993964565017e-05,8.461812129754827e-05
0.04717948717948718,3,3.2007820314304704e-05,3.521733427702756e-05
0.04717948717948718,4,2.5924339290405512e-05,2.905596959248432e-05
0.04717948717948718,5,4.7399096819965515e-05,5.2832599044473455e-05
0.04717948717948718,6,3.0551928426430326e-05,3.67596045364645e-05
0.04717948717948718,7,2.5529016686122057e-05,2.6664710413885665e-05
0.04717948717948718,8,2.936381834043942e-05,3.121261540575181e-05
0.04717948717948718,9,6.0402681889349905e-05,5.937284665333428e-05
0.054615384615384614,0,3.877639704890698e-05,4.578301882302458e-05
0.054615384615384614,1,0.00012187874912022211,0.00012620512710622976
0.054615384615384614,2,4.070052005796247e-05,4.009755222399014e-05
0.054615384615384614,3,4.732347575089077e-05,5.50592189584834e-05
0.054615384615384614,4,6.625568450730786e-05,7.860177996205428e-05
0.054615384615384614,5,3.2472488836813656e-05,3.423056933772118e-05
0.054615384615384614,6,2.7510740070500866e-05,3.37783623259336e-05
0.054615384615384614,7,2.7319455869139357e-05,2.68653009908546e-05
0.054615384615384614,8,0.00011263479125590527,0.0001257237637730689
0.054615384615384614,9,6.482804228791438e-05,7.429965190201876e-05
0.062051282051282054,0,4.350526708231015e-05,3.854850113159692e-05
0.062051282051282054,1,2.8982114406833655e-05,3.106694007246853e-05
0.062051282051282054,2,0.00012614829799425682,0.0001460721770901126
0.062051282051282054,3,0.00011096570775655404,0.00010679315787661944
0.062051282051282054,4,7.545387211513786e-05,8.439892013765056e-05
0.062051282051282054,5,4.421545642507135e-05,4.9492852707612405e-05
0.062051282051282054,6,4.62999331364538e-05,5.290860996864255e-05
0.062051282051282054,7,2.9898226971694888e-05,3.40602011806931e-05
0.062051282051282054,8,3.209206657342648e-05,3.7097794196523915e-05
0.062051282051282054,9,4.772684828657565e-05,5.2774273786694555e-05
0.06948717948717949,0,4.6487267069298206e-05,3.731432850003501e-05
0.06948717948717949,1,3.824627871560845e-05,3.859705542383696e-05
0.06948717948717949,2,0.000131690190011515,0.00015365049826612144
0.06948717948717949,3,5.3395470423413046e-05,4.389278642167853e-05
0.06948717948717949,4,6.117813578502904e-05,8.171152925357835e-05
0.06948717948717949,5,4.0693017343111856e-05,4.040017997824158e-05
0.06948717948717949,6,0.00017272102979968602,0.00025439757524399844
0.06948717948717949,7,6.84429521230803e-05,6.651589526497403e-05
