sigma_test,replica,v_score_original,v_score_dual
0.12897435897435897,5,9.118033617058646e-05,1.6284750821754794e-05
0.12897435897435897,6,0.0001740843657656788,1.4193232262130936e-05
0.12897435897435897,7,0.00013231968394980954,1.3669865416096445e-05
0.12897435897435897,8,0.00019004742473146277,1.8538576943164126e-05
0.12897435897435897,9,0.00010323991924598896,1.084171168369959e-05
0.13641025641025642,0,0.0008648212595236837,2.2242009405727612e-05
0.13641025641025642,1,7.911262933398407e-05,1.9015197286375594e-05
0.13641025641025642,2,0.00010178460739560214,2.169985815776249e-05
0.13641025641025642,3,7.900056675474373e-05,1.4659274637693758e-05
0.13641025641025642,4,6.906962244448074e-05,1.2328113454259279e-05
0.13641025641025642,5,0.00011579752796343766,1.6124527905110786e-05
0.13641025641025642,6,0.0001104185580918132,1.270899621428237e-05
0.13641025641025642,7,0.00011100316295856395,1.6354915582831383e-05
0.13641025641025642,8,0.000280504733628329,3.5237867688316517e-05
0.13641025641025642,9,0.0002266918250496594,1.5118501316446036e-05
0.14384615384615385,0,0.00010443818924660045,1.4059359159905383e-05
0.14384615384615385,1,0.0017010107466456706,3.377114545327118e-05
0.14384615384615385,2,0.00023582387469256815,1.4037770737395445e-05
0.14384615384615385,3,0.00035826854823488676,1.8262406402991476e-05
0.14384615384615385,4,0.0003523252935154945,1.8430005669761377e-05
0.14384615384615385,5,0.0002303618427123844,1.208420010239139e-05
0.14384615384615385,6,0.0001545669594459771,2.070560250908674e-05
0.14384615384615385,7,0.0019420483207349742,2.5029810717498878e-05
0.14384615384615385,8,0.00018760821865090342,1.5399245603511947e-05
0.14384615384615385,9,0.000366244869930929,2.0932390050447106e-05
0.1512820512820513,0,0.0005608892453730599,1.7103890164272973e-05
0.1512820512820513,1,0.0001264306067562263,1.9578247004884995e-05
0.1512820512820513,2,0.00020030366851626848,1.1485079321023704e-05
0.1512820512820513,3,0.0001131837421675108,1.4418438512969161e-05
0.1512820512820513,4,0.0007930308266385408,1.9135735521464e-05
0.1512820512820513,5,0.00011406971703727157,1.4157059450453656e-05
0.1512820512820513,6,0.00020131247030028,2.717718240263752e-05
0.1512820512820513,7,0.0002240425492865483,2.151321856859989e-05
0.1512820512820513,8,0.00024727175753491877,1.9903227434716794e-05
0.1512820512820513,9,8.144857303331725e-05,1.3142074692380552e-05
0.15871794871794873,0,0.00010094675923954002,1.1053298027865264e-05
0.15871794871794873,1,0.0004732092876087717,1.8379361143822053e-05
0.15871794871794873,2,0.0007309690236935261,0.00011152218031061661
0.15871794871794873,3,0.0001356472821639401,1.7628868204302526e-05
0.15871794871794873,4,0.001014675248035979,1.8796296225786153e-05
0.15871794871794873,5,0.00010696348722559076,1.1618532845841743e-05
0.15871794871794873,6,0.00016117352624913156,1.5743452843601784e-05
0.15871794871794873,7,0.0003173318811132372,1.789932088449363e-05
0.15871794871794873,8,0.00010148888222900948,1.4107528359189332e-05
0.15871794871794873,9,0.00020288417493246857,2.6859768221441682e-05
0.16615384615384615,0,0.00010824238605585937,1.5147329535560178e-05
0.16615384615384615,1,7.756918884485034e-05,1.2965287847061884e-05
0.16615384615384615,2,0.00019217283741664742,1.3296871912207266e-05
0.16615384615384615,3,6.667978177017497e-05,1.3394020030406952e-05
0.16615384615384615,4,0.00022744998677848264,1.6734565477639482e-05
0.16615384615384615,5,0.00023722606651728893,2.2074428065336367e-05
0.16615384615384615,6,0.00016645422074570694,1.2557626255990297e-05
0.16615384615384615,7,0.00012997334281708838,2.473031560223055e-05
0.16615384615384615,8,0.00034870622398638776,2.0473047201079178e-05
0.16615384615384615,9,0.00015710900168236532,2.4236170118683544e-05
0.1735897435897436,0,0.0005953452493847289,5.4162386149538154e-05
0.1735897435897436,1,0.0002619433398639488,1.4720940075695587e-05
0.1735897435897436,2,0.0002845957047485042,2.2250432667810236e-05
0.1735897435897436,3,0.0005877266410674157,2.093201383339328e-05
0.1735897435897436,4,0.00036916053179951403,2.2055944702198557e-05
0.1735897435897436,5,0.0004987166536769281,2.0901561936328475e-05
0.1735897435897436,6,0.00020511745065020237,2.9035068301157972e-05
0.1735897435897436,7,0.003269998974163235,4.55163896933366e-05
0.1735897435897436,8,0.00014122799767174026,1.4167074467442556e-05
0.1735897435897436,9,0.00014834295348128648,1.5187099030730126e-05
0.18102564102564103,0,8.94004518800347e-05,1.3835581762692083e-05
0.18102564102564103,1,0.00017737360619235747,2.4015508174203262e-05
0.18102564102564103,2,0.0006429111196389561,3.561987827098551e-05
0.18102564102564103,3,0.0004963075047554375,3.10059382561861e-05
0.18102564102564103,4,0.0003339628724844417,2.312212465343491e-05
0.18102564102564103,5,0.0003342010447593638,1.6243220863657123e-05
0.18102564102564103,6,0.00025003823164616005,2.6466949866750522e-05
0.18102564102564103,7,0.00024272712624986523,3.42914564904021e-05
0.18102564102564103,8,0.0005406774970237283,2.5971361146175678e-05
