batch_config,sigma_test,replica,v_score
n=160,0.21076923076923076,5,0.0002132474859180328
n=160,0.21076923076923076,6,0.000229312052963561
n=160,0.21076923076923076,7,0.00020716597459097692
n=160,0.21076923076923076,8,0.00026169171685401494
n=160,0.21076923076923076,9,0.0002166768530931053
n=160,0.21820512820512822,0,0.00032852224392953096
n=160,0.21820512820512822,1,0.0002068089903566975
n=160,0.21820512820512822,2,0.00019279767867461868
n=160,0.21820512820512822,3,0.00024086851947693297
n=160,0.21820512820512822,4,0.00030411410221107063
n=160,0.21820512820512822,5,0.0002290998140104753
n=160,0.21820512820512822,6,0.00017164231205056313
n=160,0.21820512820512822,7,0.00027364015465575653
n=160,0.21820512820512822,8,0.000224593660095909
n=160,0.21820512820512822,9,0.00023983167315153316
n=160,0.22564102564102564,0,0.00026325100222806186
n=160,0.22564102564102564,1,0.0002326166021754426
n=160,0.22564102564102564,2,0.00024192480939262025
n=160,0.22564102564102564,3,0.00020985108830034723
n=160,0.22564102564102564,4,0.00038721719169267636
n=160,0.22564102564102564,5,0.00018980650059264147
n=160,0.22564102564102564,6,0.00022553342264169365
n=160,0.22564102564102564,7,0.0002603818293192397
n=160,0.22564102564102564,8,0.00021231247130482856
n=160,0.22564102564102564,9,0.00021546880899304984
n=160,0.23307692307692307,0,0.00025916314302902837
n=160,0.23307692307692307,1,0.0002031080368047198
n=160,0.23307692307692307,2,0.00022170390366796754
n=160,0.23307692307692307,3,0.00021313702908117566
n=160,0.23307692307692307,4,0.00021049401799300081
n=160,0.23307692307692307,5,0.0002140895460756885
n=160,0.23307692307692307,6,0.0002651227109271771
n=160,0.23307692307692307,7,0.00025856373505412413
n=160,0.23307692307692307,8,0.0003516538517766885
n=160,0.23307692307692307,9,0.00027871873059368555
n=160,0.24051282051282052,0,0.00027333758837193837
n=160,0.24051282051282052,1,0.00020637780485569123
n=160,0.24051282051282052,2,0.00026323805897121946
n=160,0.24051282051282052,3,0.0002228322600171365
n=160,0.24051282051282052,4,0.00020829399082678487
n=160,0.24051282051282052,5,0.0002770808260385743
n=160,0.24051282051282052,6,0.00021160902191596557
n=160,0.24051282051282052,7,0.00024122326891777029
n=160,0.24051282051282052,8,0.00022600419353559407
n=160,0.24051282051282052,9,0.00023952290474884872
n=160,0.24794871794871795,0,0.00042094713873008424
n=160,0.24794871794871795,1,0.0002149108249707701
n=160,0.24794871794871795,2,0.0002662388385898907
n=160,0.24794871794871795,3,0.00034456186861810817
n=160,0.24794871794871795,4,0.00025807439586623965
n=160,0.24794871794871795,5,0.0002922878390980475
n=160,0.24794871794871795,6,0.0002910858903764326
n=160,0.24794871794871795,7,0.00025730155782368246
n=160,0.24794871794871795,8,0.00025771088519001224
n=160,0.24794871794871795,9,0.0002448856331731395
n=160,0.2553846153846154,0,0.0002477388102154535
n=160,0.2553846153846154,1,0.00023589956306221022
n=160,0.2553846153846154,2,0.0002520387659347816
n=160,0.2553846153846154,3,0.00023183768656305035
n=160,0.2553846153846154,4,0.00032006712169320445
n=160,0.2553846153846154,5,0.0002109267956266087
n=160,0.2553846153846154,6,0.00022762542190073285
n=160,0.2553846153846154,7,0.00023687329218213108
n=160,0.2553846153846154,8,0.00024610315199451665
n=160,0.2553846153846154,9,0.00018734589740105755
n=160,0.26282051282051283,0,0.00034037307276183095
n=160,0.26282051282051283,1,0.00037328138226202986
n=160,0.26282051282051283,2,0.000254097042080644
n=160,0.26282051282051283,3,0.00018508718811511952
n=160,0.26282051282051283,4,0.00027583855669631235
n=160,0.26282051282051283,5,0.00023193077628071534
n=160,0.26282051282051283,6,0.00020869569078991592
n=160,0.26282051282051283,7,0.00021275358770414987
n=160,0.26282051282051283,8,0.00026072690890753883
n=160,0.26282051282051283,9,0.0002727256504169527
n=160,0.2702564102564103,0,0.0002343177095981468
n=160,0.2702564102564103,1,0.00023232534189063087
n=160,0.2702564102564103,2,0.0003435477096046239
n=160,0.2702564102564103,3,0.0002578979432336237
n=160,0.2702564102564103,4,0.0002555648934930974
n=160,0.2702564102564103,5,0.0005292497599107612
n=160,0.2702564102564103,6,0.00023531821138245363
n=160,0.2702564102564103,7,0.0003648370124981316
n=160,0.2702564102564103,8,0.0002595854826595685
n=160,0.2702564102564103,9,0.00031182470410895987
n=160,0.2776923076923077,0,0.0002470081266890541
n=160,0.2776923076923077,1,0.00027226341927709456
n=160,0.2776923076923077,2,0.00035672202975100517
n=160,0.2776923076923077,3,0.0003437038330215479
n=160,0.2776923076923077,4,0.00021416963916999807
n=160,0.2776923076923077,5,0.00027155268788467353
n=160,0.2776923076923077,6,0.00029859251921945257
n=160,0.2776923076923077,7,0.00020168799443619643
n=160,0.2776923076923077,8,0.00028436214881891945
n=160,0.2776923076923077,9,0.0002625921189923351
n=160,0.28512820512820514,0,0.00037413962195985195
n=160,0.28512820512820514,1,0.000322098596298277
n=160,0.28512820512820514,2,0.00036098439638694075
n=160,0.28512820512820514,3,0.0002627080241666919
n=160,0.28512820512820514,4,0.00026137398492899857
n=160,0.28512820512820514,5,0.0002910435826768908
n=160,0.28512820512820514,6,0.00027757054397518265
n=160,0.28512820512820514,7,0.0002711312785402113
n=160,0.28512820512820514,8,0.00025593589570400147
n=160,0.28512820512820514,9,0.00025431366537893775
n=160,0.2925641025641026,0,0.0003182810007855574
n=160,0.2925641025641026,1,0.00031295662372563817
n=160,0.2925641025641026,2,0.000283906020823393
n=160,0.2925641025641026,3,0.0003411551218886843
n=160,0.2925641025641026,4,0.0003554301166555299
n=160,0.2925641025641026,5,0.0002689156155393005
n=160,0.2925641025641026,6,0.00035682289246121736
n=160,0.2925641025641026,7,0.0002258001404287338
n=160,0.2925641025641026,8,0.00026131929908376755
n=160,0.2925641025641026,9,0.0003603006715822336
n=160,0.3,0,0.00022975581682416088
n=160,0.3,1,0.00033039282217100445
n=160,0.3,2,0.000249889941112974
n=160,0.3,3,0.0002424290943627152
n=160,0.3,4,0.00037895459804058995
n=160,0.3,5,0.0002679515452265602
n=160,0.3,6,0.00030591371950704574
n=160,0.3,7,0.00033242758552531394
n=160,0.3,8,0.0003198508040556859
n=160,0.3,9,0.0002624288998677238
n=320,0.01,0,2.650471448955034e-05
