patch_size_b,L_eff,sigma_test,replica,v_score
2,32,0.04717948717948718,8,5.759604958247027e-05
2,32,0.04717948717948718,9,6.149142231754752e-05
2,32,0.054615384615384614,0,5.739311564137257e-05
2,32,0.054615384615384614,1,6.0931149668897206e-05
2,32,0.054615384615384614,2,6.163984270691283e-05
2,32,0.054615384615384614,3,6.147743158703326e-05
2,32,0.054615384615384614,4,5.7455292343501415e-05
2,32,0.054615384615384614,5,6.21364699127365e-05
2,32,0.054615384615384614,6,6.318197113649703e-05
2,32,0.054615384615384614,7,6.357236916221319e-05
2,32,0.054615384615384614,8,5.775819507901506e-05
2,32,0.054615384615384614,9,5.746551008046544e-05
2,32,0.062051282051282054,0,5.887341819038813e-05
2,32,0.062051282051282054,1,5.967494512310968e-05
2,32,0.062051282051282054,2,5.802185374454216e-05
2,32,0.062051282051282054,3,6.310888214391249e-05
2,32,0.062051282051282054,4,6.27695224717853e-05
2,32,0.062051282051282054,5,5.827643895592834e-05
2,32,0.062051282051282054,6,6.206950674894397e-05
2,32,0.062051282051282054,7,6.106902389421555e-05
2,32,0.062051282051282054,8,5.895586491212147e-05
2,32,0.062051282051282054,9,6.168343135403612e-05
2,32,0.06948717948717949,0,6.119803425852515e-05
2,32,0.06948717948717949,1,6.261271563227743e-05
2,32,0.06948717948717949,2,5.905599098124058e-05
2,32,0.06948717948717949,3,5.632654431435193e-05
2,32,0.06948717948717949,4,6.279585346306237e-05
2,32,0.06948717948717949,5,6.117186269922869e-05
2,32,0.06948717948717949,6,6.298093713117443e-05
2,32,0.06948717948717949,7,6.512752550958095e-05
2,32,0.06948717948717949,8,6.020431314436638e-05
2,32,0.06948717948717949,9,6.329156607988737e-05
2,32,0.07692307692307691,0,6.6439949091992e-05
2,32,0.07692307692307691,1,6.266905982091273e-05
2,32,0.07692307692307691,2,6.0894761697570736e-05
2,32,0.07692307692307691,3,6.189306116740428e-05
2,32,0.07692307692307691,4,7.047389818406619e-05
2,32,0.07692307692307691,5,6.495013752884073e-05
2,32,0.07692307692307691,6,5.9391804805764e-05
2,32,0.07692307692307691,7,6.783759055134115e-05
2,32,0.07692307692307691,8,6.629717230830134e-05
2,32,0.07692307692307691,9,5.8763222937242505e-05
2,32,0.08435897435897435,0,5.847295478900502e-05
2,32,0.08435897435897435,1,6.583856999344631e-05
2,32,0.08435897435897435,2,6.629736396146357e-05
2,32,0.08435897435897435,3,5.919539337779049e-05
2,32,0.08435897435897435,4,6.397743804978293e-05
2,32,0.08435897435897435,5,6.202745674530563e-05
2,32,0.08435897435897435,6,6.769740009362624e-05
2,32,0.08435897435897435,7,5.811981915030717e-05
2,32,0.08435897435897435,8,6.482568100521854e-05
2,32,0.08435897435897435,9,6.090211462828878e-05
2,32,0.0917948717948718,0,5.953500575319433e-05
2,32,0.0917948717948718,1,6.370190370473045e-05
2,32,0.0917948717948718,2,6.243381510727529e-05
2,32,0.0917948717948718,3,6.1032815919834464e-05
2,32,0.0917948717948718,4,5.886608077145208e-05
2,32,0.0917948717948718,5,6.803140449223474e-05
2,32,0.0917948717948718,6,6.710944570975453e-05
2,32,0.0917948717948718,7,7.033597133464475e-05
2,32,0.0917948717948718,8,7.271357918843653e-05
2,32,0.0917948717948718,9,6.642378497467735e-05
2,32,0.09923076923076922,0,7.248267469941589e-05
2,32,0.09923076923076922,1,6.680409480344098e-05
2,32,0.09923076923076922,2,6.552231462424484e-05
2,32,0.09923076923076922,3,6.67985634603723e-05
2,32,0.09923076923076922,4,7.280634367356716e-05
2,32,0.09923076923076922,5,6.607108078035148e-05
2,32,0.09923076923076922,6,6.646608680504632e-05
2,32,0.09923076923076922,7,7.100506379177437e-05
2,32,0.09923076923076922,8,6.546034505283518e-05
2,32,0.09923076923076922,9,6.962551896953966e-05
2,32,0.10666666666666666,0,6.398515900774538e-05
2,32,0.10666666666666666,1,6.057408599569908e-05
2,32,0.10666666666666666,2,6.766812908950954e-05
2,32,0.10666666666666666,3,6.591695824562461e-05
2,32,0.10666666666666666,4,7.406230191196294e-05
2,32,0.10666666666666666,5,6.670029119102506e-05
2,32,0.10666666666666666,6,6.548904838972385e-05
2,32,0.10666666666666666,7,6.583911833179372e-05
2,32,0.10666666666666666,8,7.231670434204316e-05
2,32,0.10666666666666666,9,7.076224084160707e-05
2,32,0.1141025641025641,0,6.457454406773754e-05
2,32,0.1141025641025641,1,6.914744776674295e-05
2,32,0.1141025641025641,2,7.497426854788257e-05
2,32,0.1141025641025641,3,7.728438313768103e-05
2,32,0.1141025641025641,4,7.041317542748691e-05
2,32,0.1141025641025641,5,6.585727436116213e-05
2,32,0.1141025641025641,6,7.086755434736848e-05
2,32,0.1141025641025641,7,6.807421387656384e-05
2,32,0.1141025641025641,8,6.725425987747661e-05
2,32,0.1141025641025641,9,6.939341569589107e-05
2,32,0.12153846153846153,0,6.30328347948821e-05
2,32,0.12153846153846153,1,6.412853763431262e-05
2,32,0.12153846153846153,2,7.249844253169412e-05
2,32,0.12153846153846153,3,6.736212280823154e-05
2,32,0.12153846153846153,4,6.374318494305081e-05
2,32,0.12153846153846153,5,8.72593431098116e-05
2,32,0.12153846153846153,6,7.952316598104475e-05
2,32,0.12153846153846153,7,7.241524565198294e-05
2,32,0.12153846153846153,8,7.498697607061901e-05
2,32,0.12153846153846153,9,6.222428846311594e-05
2,32,0.12897435897435897,0,7.731116201761693e-05
2,32,0.12897435897435897,1,7.083208553750311e-05
2,32,0.12897435897435897,2,9.90578115908666e-05
2,32,0.12897435897435897,3,7.292866199956953e-05
2,32,0.12897435897435897,4,7.642015283912408e-05
2,32,0.12897435897435897,5,6.657020139373775e-05
2,32,0.12897435897435897,6,7.063926241518305e-05
2,32,0.12897435897435897,7,8.098246578697201e-05
2,32,0.12897435897435897,8,7.623109512846481e-05
2,32,0.12897435897435897,9,7.189250650729411e-05
2,32,0.13641025641025642,0,7.053136170262027e-05
2,32,0.13641025641025642,1,6.732861127248375e-05
2,32,0.13641025641025642,2,7.705674947127964e-05
2,32,0.13641025641025642,3,9.660505152668154e-05
2,32,0.13641025641025642,4,7.907314737730286e-05
2,32,0.13641025641025642,5,7.455774520692824e-05
2,32,0.13641025641025642,6,7.617699326229184e-05
2,32,0.13641025641025642,7,6.870111624455633e-05
2,32,0.13641025641025642,8,7.273182851623501e-05
2,32,0.13641025641025642,9,7.316408963423967e-05
2,32,0.14384615384615385,0,8.397296487277215e-05
2,32,0.14384615384615385,1,8.426611765965182e-05
2,32,0.14384615384615385,2,7.175197307442134e-05
2,32,0.14384615384615385,3,0.00010230509929700439
2,32,0.14384615384615385,4,8.258060498059997e-05
2,32,0.14384615384615385,5,7.460095861906763e-05
2,32,0.14384615384615385,6,7.469891754328864e-05
2,32,0.14384615384615385,7,8.054579650436188e-05
2,32,0.14384615384615385,8,7.508111289183791e-05
2,32,0.14384615384615385,9,8.178718251079702e-05
2,32,0.1512820512820513,0,8.713909535076305e-05
2,32,0.1512820512820513,1,8.296312020018142e-05
2,32,0.1512820512820513,2,8.368022538693177e-05
2,32,0.1512820512820513,3,7.823050720875353e-05
2,32,0.1512820512820513,4,6.999628899052323e-05
2,32,0.1512820512820513,5,7.600972998378797e-05
2,32,0.1512820512820513,6,8.519345664672051e-05
2,32,0.1512820512820513,7,8.241722182648705e-05
2,32,0.1512820512820513,8,9.581478723358182e-05
2,32,0.1512820512820513,9,7.504671947634904e-05
2,32,0.15871794871794873,0,8.0832062969145e-05
2,32,0.15871794871794873,1,8.208064492369548e-05
2,32,0.15871794871794873,2,8.613420056998511e-05
2,32,0.15871794871794873,3,7.986774512248676e-05
2,32,0.15871794871794873,4,8.105191537048134e-05
2,32,0.15871794871794873,5,8.184579169940184e-05
2,32,0.15871794871794873,6,7.945328044698012e-05
2,32,0.15871794871794873,7,9.360384264190903e-05
2,32,0.15871794871794873,8,9.334226516586347e-05
2,32,0.15871794871794873,9,7.418584833090443e-05
2,32,0.16615384615384615,0,7.886562802059355e-05
2,32,0.16615384615384615,1,9.026506661719488e-05
2,32,0.16615384615384615,2,8.504852379912665e-05
2,32,0.16615384615384615,3,8.297276601942845e-05
2,32,0.16615384615384615,4,8.920819171960232e-05
2,32,0.16615384615384615,5,9.09097157228091e-05
2,32,0.16615384615384615,6,7.718927312894536e-05
2,32,0.16615384615384615,7,9.777265986598168e-05
