b,L_eff,sigma_test,replica,v_score
1,36,0.07692307692307691,4,0.00013150214662944554
1,36,0.07692307692307691,5,0.0001644100675004199
1,36,0.07692307692307691,6,0.00013472037967561195
1,36,0.07692307692307691,7,0.00014221133231242364
1,36,0.07692307692307691,8,0.0001614981387385431
1,36,0.07692307692307691,9,0.00014096414401487865
1,36,0.08435897435897435,0,0.00014912811091028052
1,36,0.08435897435897435,1,0.0001361111603194699
1,36,0.08435897435897435,2,0.0001338883262375753
1,36,0.08435897435897435,3,0.00013779560186853647
1,36,0.08435897435897435,4,0.00012392934313871154
1,36,0.08435897435897435,5,0.0001500426267835236
1,36,0.08435897435897435,6,0.00013248433125000503
1,36,0.08435897435897435,7,0.00013372857693649565
1,36,0.08435897435897435,8,0.00013080864955404998
1,36,0.08435897435897435,9,0.00015007384533842393
1,36,0.0917948717948718,0,0.00015262088635002288
1,36,0.0917948717948718,1,0.00013884914146485662
1,36,0.0917948717948718,2,0.00014171420574369704
1,36,0.0917948717948718,3,0.00013632233340061807
1,36,0.0917948717948718,4,0.00015170516682803565
1,36,0.0917948717948718,5,0.00016052341574726223
1,36,0.0917948717948718,6,0.0001435537338205036
1,36,0.0917948717948718,7,0.00016030021443581835
1,36,0.0917948717948718,8,0.00015685978313225885
1,36,0.0917948717948718,9,0.00015626451655847712
1,36,0.09923076923076922,0,0.00015499843199370635
1,36,0.09923076923076922,1,0.00012909753218084743
1,36,0.09923076923076922,2,0.00015702471003626545
1,36,0.09923076923076922,3,0.0001383625528754708
1,36,0.09923076923076922,4,0.00015003124650308938
1,36,0.09923076923076922,5,0.00014174043761165848
1,36,0.09923076923076922,6,0.00016849098495022114
1,36,0.09923076923076922,7,0.00014706059097981494
1,36,0.09923076923076922,8,0.00012951081390844053
1,36,0.09923076923076922,9,0.00013309322859448482
1,36,0.10666666666666666,0,0.00014336955022823764
1,36,0.10666666666666666,1,0.00014443358574114506
1,36,0.10666666666666666,2,0.00015221566246193893
1,36,0.10666666666666666,3,0.0001473858119631084
1,36,0.10666666666666666,4,0.00013132359034646825
1,36,0.10666666666666666,5,0.00016891939479761616
1,36,0.10666666666666666,6,0.00011741484781577285
1,36,0.10666666666666666,7,0.00015454422633222976
1,36,0.10666666666666666,8,0.00014722049525216986
1,36,0.10666666666666666,9,0.00015866524215418158
1,36,0.1141025641025641,0,0.00015708236607567903
1,36,0.1141025641025641,1,0.00015149863329504728
1,36,0.1141025641025641,2,0.00015304730952126895
1,36,0.1141025641025641,3,0.0001548790042868092
