d_spin,d_coup,split,sigma_test,replica,v_score
4,12,4/12,0.0917948717948718,7,3.1063789891926224e-06
4,12,4/12,0.0917948717948718,8,7.029179068313612e-06
4,12,4/12,0.0917948717948718,9,1.0007739705487363e-05
4,12,4/12,0.09923076923076922,0,4.0716895409935265e-06
4,12,4/12,0.09923076923076922,1,7.789363795664088e-06
4,12,4/12,0.09923076923076922,2,4.206413032104581e-06
4,12,4/12,0.09923076923076922,3,8.928919301285102e-06
4,12,4/12,0.09923076923076922,4,1.4192873434898222e-05
4,12,4/12,0.09923076923076922,5,6.005757591659159e-06
4,12,4/12,0.09923076923076922,6,6.284013640238139e-06
4,12,4/12,0.09923076923076922,7,3.970448587654647e-06
4,12,4/12,0.09923076923076922,8,5.384703793190527e-06
4,12,4/12,0.09923076923076922,9,3.6409496340059457e-06
4,12,4/12,0.10666666666666666,0,6.697059304967257e-06
4,12,4/12,0.10666666666666666,1,1.0862637375211543e-05
4,12,4/12,0.10666666666666666,2,6.5146791899876415e-06
4,12,4/12,0.10666666666666666,3,4.721906899099552e-06
4,12,4/12,0.10666666666666666,4,6.95684455823929e-06
4,12,4/12,0.10666666666666666,5,4.883377904209826e-06
4,12,4/12,0.10666666666666666,6,6.321517374361481e-06
4,12,4/12,0.10666666666666666,7,6.9809333512030456e-06
4,12,4/12,0.10666666666666666,8,3.913291880978287e-06
4,12,4/12,0.10666666666666666,9,7.989249765029899e-06
4,12,4/12,0.1141025641025641,0,5.6715524334419045e-06
4,12,4/12,0.1141025641025641,1,3.362762290849918e-06
4,12,4/12,0.1141025641025641,2,1.1092025026693794e-05
4,12,4/12,0.1141025641025641,3,5.436059193771178e-06
4,12,4/12,0.1141025641025641,4,8.32141916745212e-06
4,12,4/12,0.1141025641025641,5,8.54012829030731e-06
4,12,4/12,0.1141025641025641,6,7.648360799098262e-06
4,12,4/12,0.1141025641025641,7,1.0235509243682363e-05
4,12,4/12,0.1141025641025641,8,1.0765369244991826e-05
4,12,4/12,0.1141025641025641,9,5.079628262121697e-06
4,12,4/12,0.12153846153846153,0,5.706046894902253e-06
4,12,4/12,0.12153846153846153,1,1.3766870915560698e-05
4,12,4/12,0.12153846153846153,2,1.1829782197604793e-05
4,12,4/12,0.12153846153846153,3,7.030967695530631e-06
4,12,4/12,0.12153846153846153,4,2.562892444232508e-06
4,12,4/12,0.12153846153846153,5,7.422355060135756e-06
4,12,4/12,0.12153846153846153,6,5.143123253027067e-06
4,12,4/12,0.12153846153846153,7,7.13408994284025e-06
4,12,4/12,0.12153846153846153,8,1.243263604721139e-05
4,12,4/12,0.12153846153846153,9,4.66359603696745e-06
4,12,4/12,0.12897435897435897,0,7.507765785230093e-06
4,12,4/12,0.12897435897435897,1,7.930545658733274e-06
4,12,4/12,0.12897435897435897,2,1.2958768982422791e-05
4,12,4/12,0.12897435897435897,3,1.0421263286285339e-05
4,12,4/12,0.12897435897435897,4,8.918406826454716e-06
4,12,4/12,0.12897435897435897,5,8.042243783863383e-06
4,12,4/12,0.12897435897435897,6,6.193880778507541e-06
4,12,4/12,0.12897435897435897,7,9.333020825058385e-06
4,12,4/12,0.12897435897435897,8,2.0277962370893306e-05
4,12,4/12,0.12897435897435897,9,4.408177826138355e-06
4,12,4/12,0.13641025641025642,0,1.2131807427438392e-05
4,12,4/12,0.13641025641025642,1,9.8230298442875e-06
4,12,4/12,0.13641025641025642,2,1.002982698744133e-05
4,12,4/12,0.13641025641025642,3,1.2089680155618312e-05
4,12,4/12,0.13641025641025642,4,5.286258834537949e-06
4,12,4/12,0.13641025641025642,5,1.7675947857811682e-05
4,12,4/12,0.13641025641025642,6,6.912739025143679e-06
4,12,4/12,0.13641025641025642,7,1.0908538218618722e-05
4,12,4/12,0.13641025641025642,8,1.7431455970264712e-05
4,12,4/12,0.13641025641025642,9,1.2626822332641322e-05
4,12,4/12,0.14384615384615385,0,1.2025114941150743e-05
4,12,4/12,0.14384615384615385,1,1.513166226320319e-05
4,12,4/12,0.14384615384615385,2,9.092324078207602e-06
4,12,4/12,0.14384615384615385,3,1.5261772372604593e-05
4,12,4/12,0.14384615384615385,4,1.103170606695755e-05
4,12,4/12,0.14384615384615385,5,6.507540234879731e-06
4,12,4/12,0.14384615384615385,6,1.9666538282325483e-05
4,12,4/12,0.14384615384615385,7,1.0146986592365978e-05
4,12,4/12,0.14384615384615385,8,8.045241946552123e-06
4,12,4/12,0.14384615384615385,9,1.889965573557738e-05
4,12,4/12,0.1512820512820513,0,7.250307185600532e-06
4,12,4/12,0.1512820512820513,1,1.3715957813445082e-05
4,12,4/12,0.1512820512820513,2,6.76560578229637e-06
4,12,4/12,0.1512820512820513,3,6.576346031182712e-06
4,12,4/12,0.1512820512820513,4,3.0057343004665107e-05
4,12,4/12,0.1512820512820513,5,1.3178960436259679e-05
4,12,4/12,0.1512820512820513,6,2.7882660377566417e-05
4,12,4/12,0.1512820512820513,7,3.421512553018751e-05
4,12,4/12,0.1512820512820513,8,4.1397523597330685e-05
4,12,4/12,0.1512820512820513,9,6.7944688508044825e-06
4,12,4/12,0.15871794871794873,0,1.2036762433786986e-05
4,12,4/12,0.15871794871794873,1,4.4548501925251796e-05
4,12,4/12,0.15871794871794873,2,1.5082386724465794e-05
4,12,4/12,0.15871794871794873,3,1.9175687575170694e-05
4,12,4/12,0.15871794871794873,4,3.3123137797096095e-05
4,12,4/12,0.15871794871794873,5,8.207509344560033e-06
4,12,4/12,0.15871794871794873,6,1.1654490528992829e-05
4,12,4/12,0.15871794871794873,7,7.527088814562271e-06
4,12,4/12,0.15871794871794873,8,8.892074858321055e-06
4,12,4/12,0.15871794871794873,9,1.4458803865111889e-05
4,12,4/12,0.16615384615384615,0,6.287131498694838e-06
4,12,4/12,0.16615384615384615,1,1.3663466245708496e-05
4,12,4/12,0.16615384615384615,2,1.1578884180359086e-05
4,12,4/12,0.16615384615384615,3,8.951844946052938e-06
4,12,4/12,0.16615384615384615,4,1.6740965204427562e-05
4,12,4/12,0.16615384615384615,5,1.5928081294750673e-05
4,12,4/12,0.16615384615384615,6,6.413576953923674e-06
4,12,4/12,0.16615384615384615,7,1.0082241343785998e-05
4,12,4/12,0.16615384615384615,8,1.2369103053345893e-05
4,12,4/12,0.16615384615384615,9,1.8701405267717964e-05
4,12,4/12,0.1735897435897436,0,4.973266889251064e-05
4,12,4/12,0.1735897435897436,1,1.0034567101772022e-05
4,12,4/12,0.1735897435897436,2,1.5329709994600582e-05
4,12,4/12,0.1735897435897436,3,2.5837760718113495e-05
4,12,4/12,0.1735897435897436,4,4.647503498219174e-05
4,12,4/12,0.1735897435897436,5,4.3509969188224155e-05
4,12,4/12,0.1735897435897436,6,1.5373952864626666e-05
4,12,4/12,0.1735897435897436,7,3.3855923337034815e-05
4,12,4/12,0.1735897435897436,8,1.2494041661440171e-05
4,12,4/12,0.1735897435897436,9,2.0905904929935287e-05
4,12,4/12,0.18102564102564103,0,1.3820454352868905e-05
4,12,4/12,0.18102564102564103,1,2.869227349131879e-05
