d_spin,d_coup,split,sigma_test,replica,v_score
6,10,6/10,0.04717948717948718,9,1.4302689259390374e-06
6,10,6/10,0.054615384615384614,0,1.4079655210099328e-06
6,10,6/10,0.054615384615384614,1,1.3540101516115073e-06
6,10,6/10,0.054615384615384614,2,1.7009170982003352e-06
6,10,6/10,0.054615384615384614,3,1.2963405000887919e-06
6,10,6/10,0.054615384615384614,4,1.8682610659525132e-06
6,10,6/10,0.054615384615384614,5,1.0887684005544777e-06
6,10,6/10,0.054615384615384614,6,1.1901751374211011e-06
6,10,6/10,0.054615384615384614,7,1.0053033888669854e-06
6,10,6/10,0.054615384615384614,8,2.117529324679915e-06
6,10,6/10,0.054615384615384614,9,1.197752739449275e-06
6,10,6/10,0.062051282051282054,0,1.1253069762992764e-06
6,10,6/10,0.062051282051282054,1,1.2389680967099468e-06
6,10,6/10,0.062051282051282054,2,2.5386180905384003e-06
6,10,6/10,0.062051282051282054,3,1.8845766541593192e-06
6,10,6/10,0.062051282051282054,4,1.9807131361607746e-06
6,10,6/10,0.062051282051282054,5,1.926301890626133e-06
6,10,6/10,0.062051282051282054,6,1.9849796660939844e-06
6,10,6/10,0.062051282051282054,7,1.0399265697228544e-06
6,10,6/10,0.062051282051282054,8,1.1108939497508481e-06
6,10,6/10,0.062051282051282054,9,1.3704492953741343e-06
6,10,6/10,0.06948717948717949,0,1.6721692630829972e-06
6,10,6/10,0.06948717948717949,1,1.841157387332257e-06
6,10,6/10,0.06948717948717949,2,1.2617125686750454e-06
6,10,6/10,0.06948717948717949,3,1.77365213379607e-06
6,10,6/10,0.06948717948717949,4,1.951183501735818e-06
6,10,6/10,0.06948717948717949,5,1.4473886327393517e-06
6,10,6/10,0.06948717948717949,6,3.14727395750648e-06
6,10,6/10,0.06948717948717949,7,2.0020603836873793e-06
6,10,6/10,0.06948717948717949,8,1.9007988336977681e-06
6,10,6/10,0.06948717948717949,9,1.491904531918612e-06
6,10,6/10,0.07692307692307691,0,1.5514009171607918e-06
6,10,6/10,0.07692307692307691,1,3.9818051245575875e-06
6,10,6/10,0.07692307692307691,2,1.5624325480321074e-06
6,10,6/10,0.07692307692307691,3,1.6731711087867186e-06
6,10,6/10,0.07692307692307691,4,2.1269451080868984e-06
6,10,6/10,0.07692307692307691,5,1.4211668004272814e-06
6,10,6/10,0.07692307692307691,6,2.07867591481466e-06
6,10,6/10,0.07692307692307691,7,1.624628362349091e-06
6,10,6/10,0.07692307692307691,8,2.4045870321194255e-06
6,10,6/10,0.07692307692307691,9,1.685666443836062e-06
6,10,6/10,0.08435897435897435,0,5.4925963280583995e-06
6,10,6/10,0.08435897435897435,1,2.6151399306671413e-06
6,10,6/10,0.08435897435897435,2,2.1704641756257125e-06
6,10,6/10,0.08435897435897435,3,3.1780544343552725e-06
6,10,6/10,0.08435897435897435,4,2.106715047629742e-06
6,10,6/10,0.08435897435897435,5,2.2325224779105493e-06
6,10,6/10,0.08435897435897435,6,2.286690560857477e-06
6,10,6/10,0.08435897435897435,7,2.3049019102737755e-06
6,10,6/10,0.08435897435897435,8,2.5700254207951812e-06
6,10,6/10,0.08435897435897435,9,2.854605230725358e-06
6,10,6/10,0.0917948717948718,0,3.0303826974388576e-06
6,10,6/10,0.0917948717948718,1,4.125990054383567e-06
6,10,6/10,0.0917948717948718,2,2.3116707958600703e-06
6,10,6/10,0.0917948717948718,3,1.515399685896384e-06
6,10,6/10,0.0917948717948718,4,2.398881770802151e-06
6,10,6/10,0.0917948717948718,5,1.9698581948804172e-06
6,10,6/10,0.0917948717948718,6,3.1323426005788915e-06
6,10,6/10,0.0917948717948718,7,1.8526661699237922e-06
6,10,6/10,0.0917948717948718,8,2.2777133784708155e-06
6,10,6/10,0.0917948717948718,9,4.3539529781955e-06
6,10,6/10,0.09923076923076922,0,2.8323491624373437e-06
6,10,6/10,0.09923076923076922,1,5.553061768074017e-06
6,10,6/10,0.09923076923076922,2,2.46172086141163e-06
6,10,6/10,0.09923076923076922,3,5.4892213895760395e-06
6,10,6/10,0.09923076923076922,4,3.250670702277992e-06
6,10,6/10,0.09923076923076922,5,2.5587578803495405e-06
6,10,6/10,0.09923076923076922,6,3.2211528090735767e-06
6,10,6/10,0.09923076923076922,7,3.3420419599835423e-06
6,10,6/10,0.09923076923076922,8,3.235835672942638e-06
6,10,6/10,0.09923076923076922,9,2.3897810678112467e-06
6,10,6/10,0.10666666666666666,0,2.748380594525496e-06
6,10,6/10,0.10666666666666666,1,4.992243191364083e-06
6,10,6/10,0.10666666666666666,2,3.293502209718204e-06
6,10,6/10,0.10666666666666666,3,2.655618804175506e-06
6,10,6/10,0.10666666666666666,4,2.9111969675670977e-06
6,10,6/10,0.10666666666666666,5,2.2895163906836896e-06
6,10,6/10,0.10666666666666666,6,3.3456351557050354e-06
6,10,6/10,0.10666666666666666,7,4.897268968948965e-06
6,10,6/10,0.10666666666666666,8,2.829080060857349e-06
6,10,6/10,0.10666666666666666,9,5.898279709675997e-06
6,10,6/10,0.1141025641025641,0,2.833211139571607e-06
6,10,6/10,0.1141025641025641,1,2.1918985218107907e-06
6,10,6/10,0.1141025641025641,2,4.903202506660581e-06
6,10,6/10,0.1141025641025641,3,3.3651386562502515e-06
6,10,6/10,0.1141025641025641,4,3.308041709867368e-06
6,10,6/10,0.1141025641025641,5,4.549535060252196e-06
6,10,6/10,0.1141025641025641,6,2.87877202840951e-06
6,10,6/10,0.1141025641025641,7,4.2109804568587375e-06
6,10,6/10,0.1141025641025641,8,8.146299889980319e-06
6,10,6/10,0.1141025641025641,9,4.004609557184238e-06
6,10,6/10,0.12153846153846153,0,3.2616919460452907e-06
6,10,6/10,0.12153846153846153,1,6.688063699210698e-06
6,10,6/10,0.12153846153846153,2,6.759105460498419e-06
6,10,6/10,0.12153846153846153,3,4.1791779288252465e-06
6,10,6/10,0.12153846153846153,4,1.1809913930424254e-06
6,10,6/10,0.12153846153846153,5,2.754492283935675e-06
6,10,6/10,0.12153846153846153,6,3.104249587038311e-06
6,10,6/10,0.12153846153846153,7,5.14726551040191e-06
6,10,6/10,0.12153846153846153,8,6.6067386211559295e-06
6,10,6/10,0.12153846153846153,9,4.0634573534747585e-06
6,10,6/10,0.12897435897435897,0,3.385578054682336e-06
6,10,6/10,0.12897435897435897,1,4.198621352659545e-06
6,10,6/10,0.12897435897435897,2,1.0790024138803949e-05
6,10,6/10,0.12897435897435897,3,5.05004539694607e-06
6,10,6/10,0.12897435897435897,4,4.713882355628575e-06
6,10,6/10,0.12897435897435897,5,4.964149999460798e-06
6,10,6/10,0.12897435897435897,6,4.195206488357769e-06
6,10,6/10,0.12897435897435897,7,6.301342171198854e-06
6,10,6/10,0.12897435897435897,8,7.010777491305799e-06
6,10,6/10,0.12897435897435897,9,2.279804105046805e-06
6,10,6/10,0.13641025641025642,0,1.1125002089796712e-05
6,10,6/10,0.13641025641025642,1,5.118841425068513e-06
6,10,6/10,0.13641025641025642,2,1.1716452966896425e-05
6,10,6/10,0.13641025641025642,3,5.224595648256342e-06
6,10,6/10,0.13641025641025642,4,3.5642882580828274e-06
6,10,6/10,0.13641025641025642,5,7.484324622850744e-06
6,10,6/10,0.13641025641025642,6,5.038756955622324e-06
6,10,6/10,0.13641025641025642,7,7.159826788925317e-06
6,10,6/10,0.13641025641025642,8,9.11889295463286e-06
6,10,6/10,0.13641025641025642,9,7.927130105572943e-06
6,10,6/10,0.14384615384615385,0,8.51252174434464e-06
6,10,6/10,0.14384615384615385,1,1.2764245746576615e-05
6,10,6/10,0.14384615384615385,2,5.5349179099250275e-06
6,10,6/10,0.14384615384615385,3,8.325316639535901e-06
6,10,6/10,0.14384615384615385,4,7.334249374391824e-06
6,10,6/10,0.14384615384615385,5,3.22540969118582e-06
6,10,6/10,0.14384615384615385,6,1.2572236379151239e-05
6,10,6/10,0.14384615384615385,7,9.818235300187224e-06
6,10,6/10,0.14384615384615385,8,4.244061826024565e-06
6,10,6/10,0.14384615384615385,9,8.738392844627071e-06
6,10,6/10,0.1512820512820513,0,3.7504166434363885e-06
6,10,6/10,0.1512820512820513,1,5.6856786287616465e-06
6,10,6/10,0.1512820512820513,2,2.9177594296865714e-06
6,10,6/10,0.1512820512820513,3,4.043510292292326e-06
6,10,6/10,0.1512820512820513,4,1.969058526986691e-05
6,10,6/10,0.1512820512820513,5,1.073899406296996e-05
6,10,6/10,0.1512820512820513,6,1.0750501696186216e-05
6,10,6/10,0.1512820512820513,7,1.0483312939841346e-05
6,10,6/10,0.1512820512820513,8,1.7008501110304406e-05
6,10,6/10,0.1512820512820513,9,5.840398199894308e-06
6,10,6/10,0.15871794871794873,0,3.3994953160617307e-06
6,10,6/10,0.15871794871794873,1,2.0875140595022745e-05
6,10,6/10,0.15871794871794873,2,8.922052656396721e-06
6,10,6/10,0.15871794871794873,3,8.069092535413873e-06
6,10,6/10,0.15871794871794873,4,1.3607520829981787e-05
6,10,6/10,0.15871794871794873,5,3.5058620705577195e-06
6,10,6/10,0.15871794871794873,6,4.085579985727322e-06
6,10,6/10,0.15871794871794873,7,4.416586944319197e-06
6,10,6/10,0.15871794871794873,8,5.008813376521153e-06
6,10,6/10,0.15871794871794873,9,1.4652467644190551e-05
6,10,6/10,0.16615384615384615,0,3.3791447422928403e-06
6,10,6/10,0.16615384615384615,1,6.478578679874666e-06
6,10,6/10,0.16615384615384615,2,9.91110411815334e-06
6,10,6/10,0.16615384615384615,3,3.343642727285098e-06
6,10,6/10,0.16615384615384615,4,7.432215241365342e-06
6,10,6/10,0.16615384615384615,5,1.1540991168661813e-05
6,10,6/10,0.16615384615384615,6,3.2926620275024543e-06
6,10,6/10,0.16615384615384615,7,1.1522490720207346e-05
6,10,6/10,0.16615384615384615,8,7.522453503135607e-06
6,10,6/10,0.16615384615384615,9,1.1687510373478983e-05
6,10,6/10,0.1735897435897436,0,4.130662526501315e-05
6,10,6/10,0.1735897435897436,1,4.484682641259519e-06
6,10,6/10,0.1735897435897436,2,1.4919245876445008e-05
6,10,6/10,0.1735897435897436,3,9.865502166439058e-06
6,10,6/10,0.1735897435897436,4,1.88195821470241e-05
6,10,6/10,0.1735897435897436,5,1.9068118116100638e-05
6,10,6/10,0.1735897435897436,6,1.0904898312219627e-05
6,10,6/10,0.1735897435897436,7,2.3822619348938418e-05
6,10,6/10,0.1735897435897436,8,6.575724591797307e-06
6,10,6/10,0.1735897435897436,9,1.43583613734133e-05
6,10,6/10,0.18102564102564103,0,9.580164692287504e-06
6,10,6/10,0.18102564102564103,1,1.5842160956886032e-05
6,10,6/10,0.18102564102564103,2,2.7554617538256585e-05
6,10,6/10,0.18102564102564103,3,2.9027171840015028e-05
6,10,6/10,0.18102564102564103,4,1.987675624377831e-05
6,10,6/10,0.18102564102564103,5,8.177908293092358e-06
6,10,6/10,0.18102564102564103,6,9.827358953865981e-06
6,10,6/10,0.18102564102564103,7,1.3174667886057945e-05
6,10,6/10,0.18102564102564103,8,1.189347600469624e-05
6,10,6/10,0.18102564102564103,9,7.056398862736098e-06
6,10,6/10,0.18846153846153846,0,9.409589178639578e-06
6,10,6/10,0.18846153846153846,1,4.677948953431855e-06
6,10,6/10,0.18846153846153846,2,6.093511615222402e-06
6,10,6/10,0.18846153846153846,3,7.518846692180206e-06
6,10,6/10,0.18846153846153846,4,1.3305446172442195e-05
6,10,6/10,0.18846153846153846,5,1.4279527868738358e-05
6,10,6/10,0.18846153846153846,6,8.352345744185845e-06
6,10,6/10,0.18846153846153846,7,1.9134314640977552e-05
6,10,6/10,0.18846153846153846,8,2.083326273285972e-05
6,10,6/10,0.18846153846153846,9,1.0763967758679336e-05
6,10,6/10,0.1958974358974359,0,1.186349014053376e-05
6,10,6/10,0.1958974358974359,1,8.270047667411468e-06
6,10,6/10,0.1958974358974359,2,1.1675901504147909e-05
6,10,6/10,0.1958974358974359,3,1.304176060389155e-05
6,10,6/10,0.1958974358974359,4,1.8676819517442144e-05
6,10,6/10,0.1958974358974359,5,6.444583685356164e-06
6,10,6/10,0.1958974358974359,6,1.7059657277431477e-05
6,10,6/10,0.1958974358974359,7,1.3756030535266776e-05
6,10,6/10,0.1958974358974359,8,1.2415077051648603e-05
6,10,6/10,0.1958974358974359,9,1.3545749937781357e-05
6,10,6/10,0.20333333333333334,0,1.527751679635548e-05
6,10,6/10,0.20333333333333334,1,1.0474295197697516e-05
6,10,6/10,0.20333333333333334,2,2.1328186462578115e-05
6,10,6/10,0.20333333333333334,3,1.746020565728339e-05
6,10,6/10,0.20333333333333334,4,1.198789891046726e-05
6,10,6/10,0.20333333333333334,5,1.8538593026335762e-05
6,10,6/10,0.20333333333333334,6,6.239052355844314e-05
6,10,6/10,0.20333333333333334,7,7.243746543166143e-06
6,10,6/10,0.20333333333333334,8,1.8068597065507414e-05
6,10,6/10,0.20333333333333334,9,3.1466393919419395e-05
6,10,6/10,0.21076923076923076,0,2.8557046297139738e-05
6,10,6/10,0.21076923076923076,1,3.8619664930062336e-05
6,10,6/10,0.21076923076923076,2,1.1854381012633614e-05
6,10,6/10,0.21076923076923076,3,1.2411882794903346e-05
6,10,6/10,0.21076923076923076,4,1.3539541035989639e-05
6,10,6/10,0.21076923076923076,5,1.2918471024812252e-05
6,10,6/10,0.21076923076923076,6,2.5095413445029036e-05
6,10,6/10,0.21076923076923076,7,2.8445351162653605e-05
6,10,6/10,0.21076923076923076,8,5.862984488813193e-06
6,10,6/10,0.21076923076923076,9,1.4060341321589145e-05
6,10,6/10,0.21820512820512822,0,1.4229645724021303e-05
6,10,6/10,0.21820512820512822,1,7.890884880625131e-06
6,10,6/10,0.21820512820512822,2,1.687700712602758e-05
6,10,6/10,0.21820512820512822,3,1.483814487664162e-05
6,10,6/10,0.21820512820512822,4,9.744771281539644e-06
6,10,6/10,0.21820512820512822,5,4.189019466454979e-05
6,10,6/10,0.21820512820512822,6,1.675884817557153e-05
6,10,6/10,0.21820512820512822,7,3.0296585291505646e-05
6,10,6/10,0.21820512820512822,8,9.139128054153212e-06
6,10,6/10,0.21820512820512822,9,8.269550807273766e-06
6,10,6/10,0.22564102564102564,0,1.6389555760422663e-05
6,10,6/10,0.22564102564102564,1,3.567698444595113e-05
6,10,6/10,0.22564102564102564,2,1.2711631655643237e-05
6,10,6/10,0.22564102564102564,3,4.862522152004774e-05
6,10,6/10,0.22564102564102564,4,1.2003409347992418e-05
6,10,6/10,0.22564102564102564,5,3.355107513489715e-05
6,10,6/10,0.22564102564102564,6,1.7678897302390887e-05
6,10,6/10,0.22564102564102564,7,2.0448401310510988e-05
6,10,6/10,0.22564102564102564,8,2.0387835258322166e-05
6,10,6/10,0.22564102564102564,9,1.3739623029549364e-05
6,10,6/10,0.23307692307692307,0,2.487495930716555e-05
6,10,6/10,0.23307692307692307,1,1.7938095319212413e-05
6,10,6/10,0.23307692307692307,2,3.409577400046661e-05
6,10,6/10,0.23307692307692307,3,7.253450925866269e-06
6,10,6/10,0.23307692307692307,4,2.998500893899497e-05
6,10,6/10,0.23307692307692307,5,4.108681429353699e-05
6,10,6/10,0.23307692307692307,6,1.835773062831085e-05
6,10,6/10,0.23307692307692307,7,2.2136078140751468e-05
6,10,6/10,0.23307692307692307,8,3.308976795527581e-05
6,10,6/10,0.23307692307692307,9,1.4799372474210228e-05
6,10,6/10,0.24051282051282052,0,3.125547859554499e-05
6,10,6/10,0.24051282051282052,1,4.369865557571673e-05
6,10,6/10,0.24051282051282052,2,3.039205743268342e-05
6,10,6/10,0.24051282051282052,3,3.360666174071542e-05
6,10,6/10,0.24051282051282052,4,5.460396089775744e-05
6,10,6/10,0.24051282051282052,5,4.274957249226411e-05
6,10,6/10,0.24051282051282052,6,5.373185993940293e-05
6,10,6/10,0.24051282051282052,7,4.090057722286826e-05
6,10,6/10,0.24051282051282052,8,2.0126003455240363e-05
6,10,6/10,0.24051282051282052,9,2.001940149364468e-05
6,10,6/10,0.24794871794871795,0,1.0958292427082651e-05
6,10,6/10,0.24794871794871795,1,4.847501008293193e-05
6,10,6/10,0.24794871794871795,2,3.3971923911933264e-05
6,10,6/10,0.24794871794871795,3,1.818432778711692e-05
6,10,6/10,0.24794871794871795,4,1.3922097995606557e-05
6,10,6/10,0.24794871794871795,5,9.442660723550035e-06
6,10,6/10,0.24794871794871795,6,1.865375302470508e-05
6,10,6/10,0.24794871794871795,7,3.081801613143674e-05
6,10,6/10,0.24794871794871795,8,2.1009101789454925e-05
6,10,6/10,0.24794871794871795,9,3.3835430600071994e-05
6,10,6/10,0.2553846153846154,0,3.143517818127149e-05
6,10,6/10,0.2553846153846154,1,8.500033854163962e-06
6,10,6/10,0.2553846153846154,2,3.548160392949465e-05
6,10,6/10,0.2553846153846154,3,6.119272738248761e-06
6,10,6/10,0.2553846153846154,4,1.3071534751621713e-05
6,10,6/10,0.2553846153846154,5,2.2057814053031048e-05
6,10,6/10,0.2553846153846154,6,4.156085289248074e-05
6,10,6/10,0.2553846153846154,7,6.682187417380939e-05
6,10,6/10,0.2553846153846154,8,8.2377406699451e-05
6,10,6/10,0.2553846153846154,9,3.4968373448765464e-05
6,10,6/10,0.26282051282051283,0,8.806731502749653e-05
6,10,6/10,0.26282051282051283,1,2.9851976687187882e-05
6,10,6/10,0.26282051282051283,2,7.694863711107559e-05
6,10,6/10,0.26282051282051283,3,6.678908977062469e-05
6,10,6/10,0.26282051282051283,4,3.6633094320706186e-05
6,10,6/10,0.26282051282051283,5,2.9042724047897512e-05
6,10,6/10,0.26282051282051283,6,8.17282956388209e-05
6,10,6/10,0.26282051282051283,7,2.477673802801116e-05
6,10,6/10,0.26282051282051283,8,4.812937958043733e-05
6,10,6/10,0.26282051282051283,9,3.27823056614042e-05
6,10,6/10,0.2702564102564103,0,3.3332499755141145e-05
6,10,6/10,0.2702564102564103,1,1.894733847796713e-05
6,10,6/10,0.2702564102564103,2,3.3805871497264077e-05
6,10,6/10,0.2702564102564103,3,2.7922509844840545e-05
6,10,6/10,0.2702564102564103,4,3.251235271622476e-05
6,10,6/10,0.2702564102564103,5,8.99638278445415e-06
6,10,6/10,0.2702564102564103,6,3.5488143580130136e-05
6,10,6/10,0.2702564102564103,7,1.7853771293443888e-05
6,10,6/10,0.2702564102564103,8,2.8847264928753946e-05
6,10,6/10,0.2702564102564103,9,4.685405293537976e-05
6,10,6/10,0.2776923076923077,0,4.829687310066253e-05
6,10,6/10,0.2776923076923077,1,2.6182672556925978e-05
6,10,6/10,0.2776923076923077,2,1.7272996567454163e-05
6,10,6/10,0.2776923076923077,3,3.592752901952609e-05
6,10,6/10,0.2776923076923077,4,4.30410099790655e-05
6,10,6/10,0.2776923076923077,5,5.588996441265653e-05
6,10,6/10,0.2776923076923077,6,4.3624584741007995e-05
6,10,6/10,0.2776923076923077,7,4.654278538401435e-05
6,10,6/10,0.2776923076923077,8,2.5193766668441583e-05
6,10,6/10,0.2776923076923077,9,3.5789207816316685e-05
6,10,6/10,0.28512820512820514,0,0.00010505427087399232
6,10,6/10,0.28512820512820514,1,2.686179695712637e-05
6,10,6/10,0.28512820512820514,2,7.474798208422713e-05
6,10,6/10,0.28512820512820514,3,5.5588467966345725e-05
6,10,6/10,0.28512820512820514,4,1.2382644646178934e-05
6,10,6/10,0.28512820512820514,5,2.6384530926066366e-05
6,10,6/10,0.28512820512820514,6,7.044116203541601e-05
6,10,6/10,0.28512820512820514,7,4.1952242154013774e-05
6,10,6/10,0.28512820512820514,8,2.642720997563926e-05
6,10,6/10,0.28512820512820514,9,4.9602104784401185e-05
6,10,6/10,0.2925641025641026,0,1.2536193900878913e-05
6,10,6/10,0.2925641025641026,1,1.7478573144294165e-05
6,10,6/10,0.2925641025641026,2,5.226639259129051e-05
6,10,6/10,0.2925641025641026,3,9.385009336311614e-05
6,10,6/10,0.2925641025641026,4,1.933563027034106e-05
6,10,6/10,0.2925641025641026,5,4.3473652982302265e-05
6,10,6/10,0.2925641025641026,6,4.728022711503051e-05
6,10,6/10,0.2925641025641026,7,2.0645982535355745e-05
6,10,6/10,0.2925641025641026,8,3.177548574843333e-05
6,10,6/10,0.2925641025641026,9,7.697591735683934e-05
6,10,6/10,0.3,0,9.86135147418819e-05
6,10,6/10,0.3,1,4.051472058817655e-05
6,10,6/10,0.3,2,1.855481992491654e-05
6,10,6/10,0.3,3,4.06414819296014e-05
6,10,6/10,0.3,4,4.4601864228317655e-05
6,10,6/10,0.3,5,0.00017079461879604247
6,10,6/10,0.3,6,5.2775500559263556e-05
6,10,6/10,0.3,7,2.536021009690985e-05
6,10,6/10,0.3,8,4.2019586218150586e-05
6,10,6/10,0.3,9,0.00013896487316047794
8,8,8/8 (baseline),0.01,0,6.662190116396746e-07
8,8,8/8 (baseline),0.01,1,6.562069996654519e-07
8,8,8/8 (baseline),0.01,2,7.914864961551644e-07
8,8,8/8 (baseline),0.01,3,6.68889156459721e-07
8,8,8/8 (baseline),0.01,4,7.300084066422331e-07
8,8,8/8 (baseline),0.01,5,6.643172307643299e-07
8,8,8/8 (baseline),0.01,6,6.858200791396692e-07
8,8,8/8 (baseline),0.01,7,6.896044085124807e-07
8,8,8/8 (baseline),0.01,8,6.337037656104768e-07
8,8,8/8 (baseline),0.01,9,7.022751815968143e-07
8,8,8/8 (baseline),0.017435897435897435,0,7.309115863516801e-07
8,8,8/8 (baseline),0.017435897435897435,1,6.73891096274595e-07
8,8,8/8 (baseline),0.017435897435897435,2,7.12920529830551e-07
8,8,8/8 (baseline),0.017435897435897435,3,6.990923728636852e-07
8,8,8/8 (baseline),0.017435897435897435,4,6.73993473923029e-07
8,8,8/8 (baseline),0.017435897435897435,5,7.613710568370617e-07
8,8,8/8 (baseline),0.017435897435897435,6,6.554983813164679e-07
8,8,8/8 (baseline),0.017435897435897435,7,6.8363952006178e-07
8,8,8/8 (baseline),0.017435897435897435,8,6.607601385176357e-07
8,8,8/8 (baseline),0.017435897435897435,9,7.142636605282585e-07
8,8,8/8 (baseline),0.02487179487179487,0,7.284686847461987e-07
8,8,8/8 (baseline),0.02487179487179487,1,7.062265354017966e-07
8,8,8/8 (baseline),0.02487179487179487,2,6.875888855347394e-07
8,8,8/8 (baseline),0.02487179487179487,3,7.069524837453952e-07
8,8,8/8 (baseline),0.02487179487179487,4,7.739891902753402e-07
8,8,8/8 (baseline),0.02487179487179487,5,7.859023712620627e-07
8,8,8/8 (baseline),0.02487179487179487,6,6.854878416532999e-07
8,8,8/8 (baseline),0.02487179487179487,7,6.916261338040989e-07
8,8,8/8 (baseline),0.02487179487179487,8,8.344140905764616e-07
8,8,8/8 (baseline),0.02487179487179487,9,7.554262740178531e-07
8,8,8/8 (baseline),0.03230769230769231,0,7.293677812714953e-07
8,8,8/8 (baseline),0.03230769230769231,1,6.97910863840385e-07
8,8,8/8 (baseline),0.03230769230769231,2,7.800851420094788e-07
8,8,8/8 (baseline),0.03230769230769231,3,8.650347316807018e-07
8,8,8/8 (baseline),0.03230769230769231,4,8.385424626712776e-07
8,8,8/8 (baseline),0.03230769230769231,5,8.585968552560585e-07
8,8,8/8 (baseline),0.03230769230769231,6,7.872150333246141e-07
8,8,8/8 (baseline),0.03230769230769231,7,6.704364489428817e-07
8,8,8/8 (baseline),0.03230769230769231,8,7.976933035077007e-07
8,8,8/8 (baseline),0.03230769230769231,9,8.398960720510564e-07
8,8,8/8 (baseline),0.03974358974358974,0,9.84801545306649e-07
8,8,8/8 (baseline),0.03974358974358974,1,1.5908248409425865e-06
8,8,8/8 (baseline),0.03974358974358974,2,8.466405460197418e-07
8,8,8/8 (baseline),0.03974358974358974,3,7.500895307065363e-07
8,8,8/8 (baseline),0.03974358974358974,4,7.429401245746609e-07
8,8,8/8 (baseline),0.03974358974358974,5,1.3705760057332512e-06
8,8,8/8 (baseline),0.03974358974358974,6,7.009218052198112e-07
8,8,8/8 (baseline),0.03974358974358974,7,9.289232677650462e-07
8,8,8/8 (baseline),0.03974358974358974,8,1.0259963730202018e-06
8,8,8/8 (baseline),0.03974358974358974,9,1.1808963261817811e-06
8,8,8/8 (baseline),0.04717948717948718,0,1.1095281567654563e-06
8,8,8/8 (baseline),0.04717948717948718,1,1.1759513849411289e-06
8,8,8/8 (baseline),0.04717948717948718,2,9.058233548530258e-07
8,8,8/8 (baseline),0.04717948717948718,3,8.035438868529209e-07
8,8,8/8 (baseline),0.04717948717948718,4,7.856595213639736e-07
8,8,8/8 (baseline),0.04717948717948718,5,9.659969057667535e-07
8,8,8/8 (baseline),0.04717948717948718,6,1.3351195591342651e-06
8,8,8/8 (baseline),0.04717948717948718,7,8.943835517626421e-07
8,8,8/8 (baseline),0.04717948717948718,8,1.114297727908701e-06
8,8,8/8 (baseline),0.04717948717948718,9,1.1163075514343318e-06
8,8,8/8 (baseline),0.054615384615384614,0,1.4679464287059088e-06
8,8,8/8 (baseline),0.054615384615384614,1,1.2779299534751906e-06
8,8,8/8 (baseline),0.054615384615384614,2,1.2484853572218372e-06
8,8,8/8 (baseline),0.054615384615384614,3,1.1003744867732457e-06
8,8,8/8 (baseline),0.054615384615384614,4,1.4303425176230286e-06
8,8,8/8 (baseline),0.054615384615384614,5,9.167881918978129e-07
8,8,8/8 (baseline),0.054615384615384614,6,9.209150786190913e-07
8,8,8/8 (baseline),0.054615384615384614,7,8.268207208321626e-07
8,8,8/8 (baseline),0.054615384615384614,8,1.7040119597495566e-06
8,8,8/8 (baseline),0.054615384615384614,9,9.748730662956417e-07
8,8,8/8 (baseline),0.062051282051282054,0,1.0282258404248534e-06
8,8,8/8 (baseline),0.062051282051282054,1,1.1101518941306143e-06
8,8,8/8 (baseline),0.062051282051282054,2,2.2734832073596863e-06
8,8,8/8 (baseline),0.062051282051282054,3,1.4244550456587832e-06
8,8,8/8 (baseline),0.062051282051282054,4,1.8334159694837025e-06
8,8,8/8 (baseline),0.062051282051282054,5,1.6519304184040182e-06
8,8,8/8 (baseline),0.062051282051282054,6,1.8864016441619733e-06
8,8,8/8 (baseline),0.062051282051282054,7,1.0242579264098042e-06
8,8,8/8 (baseline),0.062051282051282054,8,8.857342105982684e-07
8,8,8/8 (baseline),0.062051282051282054,9,1.1583421100819e-06
8,8,8/8 (baseline),0.06948717948717949,0,1.5301612672530418e-06
8,8,8/8 (baseline),0.06948717948717949,1,1.6916492228615332e-06
8,8,8/8 (baseline),0.06948717948717949,2,1.092892001099152e-06
8,8,8/8 (baseline),0.06948717948717949,3,1.5496403387555449e-06
8,8,8/8 (baseline),0.06948717948717949,4,1.9517345093476825e-06
8,8,8/8 (baseline),0.06948717948717949,5,9.449263944097585e-07
8,8,8/8 (baseline),0.06948717948717949,6,2.122222802713929e-06
8,8,8/8 (baseline),0.06948717948717949,7,1.7412813638201771e-06
8,8,8/8 (baseline),0.06948717948717949,8,1.5381851892097416e-06
8,8,8/8 (baseline),0.06948717948717949,9,1.168620993556447e-06
8,8,8/8 (baseline),0.07692307692307691,0,1.053931630105764e-06
8,8,8/8 (baseline),0.07692307692307691,1,3.2400008794112165e-06
8,8,8/8 (baseline),0.07692307692307691,2,1.1254589672308611e-06
8,8,8/8 (baseline),0.07692307692307691,3,1.2834222899482626e-06
8,8,8/8 (baseline),0.07692307692307691,4,1.9299066882789704e-06
8,8,8/8 (baseline),0.07692307692307691,5,1.4914790807805042e-06
8,8,8/8 (baseline),0.07692307692307691,6,2.4821390928795707e-06
8,8,8/8 (baseline),0.07692307692307691,7,1.1190572178682381e-06
8,8,8/8 (baseline),0.07692307692307691,8,2.0104617099120702e-06
8,8,8/8 (baseline),0.07692307692307691,9,1.4266553777920282e-06
8,8,8/8 (baseline),0.08435897435897435,0,4.759269495352832e-06
8,8,8/8 (baseline),0.08435897435897435,1,2.078176474668092e-06
8,8,8/8 (baseline),0.08435897435897435,2,1.6022849284022647e-06
8,8,8/8 (baseline),0.08435897435897435,3,2.0383145814011454e-06
