sigma_test,replica,v_score_dualembed,v_score_dualembed_film
0.24051282051282052,7,2.2470883222455188e-05,3.5036220139735056e-05
0.24051282051282052,8,1.2329836629347457e-05,2.690364224224684e-05
0.24051282051282052,9,1.7849028452776954e-05,4.3373291475052054e-05
0.24794871794871795,0,6.923770782011251e-06,1.5326822282118252e-05
0.24794871794871795,1,2.7581606219160986e-05,4.3469512752281796e-05
0.24794871794871795,2,1.979336252353298e-05,2.693313988390131e-05
0.24794871794871795,3,1.330187761052075e-05,2.3832235721424637e-05
0.24794871794871795,4,9.694616174197383e-06,2.078519468781261e-05
0.24794871794871795,5,4.736350986400522e-06,9.282298137937891e-06
0.24794871794871795,6,1.4452815726291232e-05,4.70774460981069e-05
0.24794871794871795,7,2.6561180106555157e-05,4.085985159163394e-05
0.24794871794871795,8,1.3750733081614464e-05,2.0940546645715804e-05
0.24794871794871795,9,2.2096603148289573e-05,3.575119574571447e-05
0.2553846153846154,0,1.9009380443406078e-05,4.815939059245295e-05
0.2553846153846154,1,7.235353742664211e-06,1.0804316108255538e-05
0.2553846153846154,2,2.99502001299717e-05,3.785235327416689e-05
0.2553846153846154,3,5.442270827213821e-06,9.8960423628471e-06
0.2553846153846154,4,1.027891878660395e-05,1.3835566975925621e-05
0.2553846153846154,5,1.5648697725979728e-05,1.5894983273258304e-05
0.2553846153846154,6,3.237451121327385e-05,3.654947366401138e-05
0.2553846153846154,7,4.177359564993182e-05,6.844098415319487e-05
0.2553846153846154,8,6.764356140490369e-05,9.870697346833402e-05
0.2553846153846154,9,3.0025067795535663e-05,6.018706366780032e-05
0.26282051282051283,0,7.593481178782505e-05,0.00011448679866292487
0.26282051282051283,1,2.550712842893528e-05,2.2055661049472294e-05
0.26282051282051283,2,6.104660864113048e-05,0.00011283322050978573
0.26282051282051283,3,4.286194766778331e-05,4.287766993927486e-05
0.26282051282051283,4,2.9774193068270525e-05,7.953352265312516e-05
0.26282051282051283,5,2.8695625564573807e-05,3.945360224162481e-05
0.26282051282051283,6,6.1008007418117935e-05,7.171798591193238e-05
0.26282051282051283,7,1.890477866242802e-05,4.1806154647559535e-05
0.26282051282051283,8,1.886442976478231e-05,4.471941440426278e-05
0.26282051282051283,9,1.0945928560949031e-05,2.7717237591041306e-05
0.2702564102564103,0,2.2128032208564706e-05,3.5410201752763437e-05
0.2702564102564103,1,1.805026052679775e-05,2.812212646401116e-05
0.2702564102564103,2,2.440798937526146e-05,3.4781294928388573e-05
0.2702564102564103,3,1.7906101177952648e-05,3.018569232619139e-05
0.2702564102564103,4,3.114702643640006e-05,5.222450232554138e-05
0.2702564102564103,5,5.854201671747239e-06,1.0788209006863441e-05
0.2702564102564103,6,2.4020039276946618e-05,4.5159609266409e-05
0.2702564102564103,7,1.429283767607124e-05,2.2293587691856593e-05
0.2702564102564103,8,2.2204257657116274e-05,3.9661494094102016e-05
0.2702564102564103,9,3.913269116658561e-05,7.07510235394754e-05
0.2776923076923077,0,3.314197339129818e-05,0.00010699406615125982
0.2776923076923077,1,2.284071307305218e-05,3.3308099956018384e-05
0.2776923076923077,2,1.8093199048165833e-05,3.7011405574204465e-05
0.2776923076923077,3,3.307752532498594e-05,2.99344038036228e-05
0.2776923076923077,4,3.0268183343598603e-05,5.3062324199240114e-05
0.2776923076923077,5,4.382647174235016e-05,4.3513010271461065e-05
0.2776923076923077,6,4.2152597992640634e-05,9.43257765951461e-05
0.2776923076923077,7,2.9780902089165048e-05,6.514113167230757e-05
0.2776923076923077,8,1.956622512962881e-05,4.108037238780641e-05
0.2776923076923077,9,2.865673712752451e-05,6.997403209186297e-05
0.28512820512820514,0,6.946126705016225e-05,8.993755917997091e-05
0.28512820512820514,1,2.001612080034698e-05,4.1069164368423965e-05
0.28512820512820514,2,3.1048702975008755e-05,5.541906375465358e-05
0.28512820512820514,3,4.858630120534789e-05,8.041272270283597e-05
0.28512820512820514,4,9.56044563193717e-06,2.3384558305245244e-05
0.28512820512820514,5,1.8558634316321397e-05,0.00012707119433387959
0.28512820512820514,6,8.109556077035734e-05,0.00010437711815611686
0.28512820512820514,7,4.032250468299203e-05,4.067818166387671e-05
0.28512820512820514,8,2.093616865621912e-05,3.5412545102503363e-05
0.28512820512820514,9,5.083293264507796e-05,0.00010108511960017427
0.2925641025641026,0,1.0876409926738622e-05,1.674260071925384e-05
0.2925641025641026,1,1.617627191958091e-05,2.608013475828253e-05
0.2925641025641026,2,3.508113505039441e-05,5.186714040532871e-05
0.2925641025641026,3,6.422161473578796e-05,8.844041387243318e-05
0.2925641025641026,4,1.4155195779837699e-05,2.3170331159372585e-05
0.2925641025641026,5,2.5271392279615915e-05,4.2323435731769515e-05
0.2925641025641026,6,3.538789186462781e-05,4.381386677223297e-05
0.2925641025641026,7,1.876226343919594e-05,2.6861123607252393e-05
0.2925641025641026,8,2.3534337306825265e-05,2.769615253750903e-05
0.2925641025641026,9,4.426319153986162e-05,6.92364824635274e-05
0.3,0,9.98170580858475e-05,0.00018966119050200337
0.3,1,3.7710969241940955e-05,3.0066059157853326e-05
0.3,2,1.8856190723818273e-05,2.4972104979465046e-05
0.3,3,3.691354513903405e-05,5.257647680381194e-05
0.3,4,2.7469245365467996e-05,3.774848400436122e-05
0.3,5,0.00014820716219428998,0.0007242464209953505
0.3,6,4.4912651675847094e-05,5.590953055977269e-05
0.3,7,2.0731575467822356e-05,3.648845168236163e-05
0.3,8,3.355398417991393e-05,3.3057877769240836e-05
0.3,9,7.632723494246379e-05,0.00010356087536336462
