sigma_test,replica,v_score_dualembed,v_score_dualembed_posenc
0.20333333333333334,9,3.112672787807624e-05,5.442151937686127e-05
0.21076923076923076,0,2.0176642025316183e-05,4.23872683437725e-05
0.21076923076923076,1,0.00021989486579287087,5.125000389998572e-05
0.21076923076923076,2,2.355911673094521e-05,3.766064275929098e-05
0.21076923076923076,3,1.8206878868212054e-05,3.537326307763345e-05
0.21076923076923076,4,2.140566249051821e-05,3.834010107063157e-05
0.21076923076923076,5,2.210227765106329e-05,2.7902770098757446e-05
0.21076923076923076,6,1.881587862320093e-05,3.7258871007558594e-05
0.21076923076923076,7,4.968111100005626e-05,6.900483893798751e-05
0.21076923076923076,8,1.4720820673729538e-05,2.43681989401144e-05
0.21076923076923076,9,3.090416091905758e-05,3.193360506363272e-05
0.21820512820512822,0,2.9966537981813175e-05,4.268036532292426e-05
0.21820512820512822,1,1.6874202735547427e-05,3.161325887915741e-05
0.21820512820512822,2,3.654194829088165e-05,3.715267220595755e-05
0.21820512820512822,3,1.9785488955841308e-05,3.801224765279952e-05
0.21820512820512822,4,2.6408753395825474e-05,3.137906256577861e-05
0.21820512820512822,5,3.687335291884716e-05,4.86087392579423e-05
0.21820512820512822,6,2.250743889332799e-05,3.526136973839867e-05
0.21820512820512822,7,2.8644674560984747e-05,5.036111998032598e-05
0.21820512820512822,8,1.9277164741216246e-05,2.7146446058487765e-05
0.21820512820512822,9,1.918679282751441e-05,2.5558802033758107e-05
0.22564102564102564,0,1.8016671974583502e-05,3.8024052626033685e-05
0.22564102564102564,1,3.467550329380297e-05,5.4394780455085556e-05
0.22564102564102564,2,1.947574773087099e-05,2.8802800364701977e-05
0.22564102564102564,3,3.5328681495035884e-05,4.867318723392934e-05
0.22564102564102564,4,2.2689408067308387e-05,4.149761768313142e-05
0.22564102564102564,5,3.0429313926082625e-05,5.1990279965887626e-05
0.22564102564102564,6,7.134311065083229e-05,5.517359805068656e-05
0.22564102564102564,7,5.060321896763259e-05,6.03566606209565e-05
0.22564102564102564,8,2.5579397851464867e-05,4.292434182292422e-05
0.22564102564102564,9,2.3135653267446656e-05,3.7721246318204474e-05
0.23307692307692307,0,3.69257905201057e-05,3.110392533126918e-05
0.23307692307692307,1,3.838131166204992e-05,5.527192267059743e-05
0.23307692307692307,2,2.999932739954817e-05,4.52793446202453e-05
0.23307692307692307,3,1.537387538627725e-05,2.5604952539308786e-05
0.23307692307692307,4,8.494103700579567e-05,7.536630329029338e-05
0.23307692307692307,5,3.955791814576422e-05,6.129828912908388e-05
0.23307692307692307,6,4.362893625993241e-05,4.208089379813495e-05
0.23307692307692307,7,3.78805338408963e-05,5.4213643439027e-05
0.23307692307692307,8,2.841035415545292e-05,4.959421791008861e-05
0.23307692307692307,9,2.100250529408021e-05,3.8091051026911075e-05
0.24051282051282052,0,3.417475601087235e-05,5.766091006206981e-05
0.24051282051282052,1,2.8509607173991557e-05,5.111994003253811e-05
0.24051282051282052,2,3.298298984680391e-05,5.091772573383493e-05
0.24051282051282052,3,2.2290573952337075e-05,4.560647331106071e-05
0.24051282051282052,4,3.782731684038116e-05,5.352281748831829e-05
0.24051282051282052,5,3.6942755040185525e-05,4.7788760828128144e-05
0.24051282051282052,6,4.2685654296891124e-05,8.667085318001173e-05
0.24051282051282052,7,2.9048768433623716e-05,5.9475184266404925e-05
0.24051282051282052,8,3.3040262683886486e-05,5.088602821005802e-05
0.24051282051282052,9,3.955830854778631e-05,4.870333712839956e-05
0.24794871794871795,0,2.1517937116487326e-05,3.66483826959058e-05
0.24794871794871795,1,4.0648497403667504e-05,5.0466389400973754e-05
0.24794871794871795,2,3.512411804910433e-05,4.177971264738151e-05
0.24794871794871795,3,2.949316095454605e-05,4.596226704035303e-05
0.24794871794871795,4,1.725836189728468e-05,3.2936497513534586e-05
0.24794871794871795,5,1.6966549721531543e-05,3.129617021927164e-05
0.24794871794871795,6,3.176370717228646e-05,4.638630335074039e-05
0.24794871794871795,7,6.007946224383414e-05,5.411840152506092e-05
0.24794871794871795,8,1.9786765298574668e-05,3.0883487584532e-05
0.24794871794871795,9,2.6471818912116278e-05,4.075335177794915e-05
0.2553846153846154,0,2.932551590009409e-05,4.825292669125996e-05
0.2553846153846154,1,1.9409780997983435e-05,3.577846616478745e-05
0.2553846153846154,2,2.7316490364896387e-05,5.307425948348854e-05
0.2553846153846154,3,2.0456336500131747e-05,2.9276253024986812e-05
0.2553846153846154,4,7.155487536706731e-05,4.002966210817468e-05
0.2553846153846154,5,2.652848252623924e-05,3.191462732802314e-05
0.2553846153846154,6,4.360850029707496e-05,7.048098128860871e-05
0.2553846153846154,7,3.747944087971988e-05,7.408861201720594e-05
0.2553846153846154,8,6.925889905814101e-05,8.712373576946025e-05
0.2553846153846154,9,3.590518446422093e-05,6.56844422192197e-05
0.26282051282051283,0,0.00040166867625721314,6.141554488038771e-05
0.26282051282051283,1,3.27034396591747e-05,4.86239952326128e-05
0.26282051282051283,2,4.228443755045577e-05,7.439024269917431e-05
0.26282051282051283,3,2.7692646056953617e-05,5.300115554214426e-05
0.26282051282051283,4,7.227344688662675e-05,7.15740062215696e-05
0.26282051282051283,5,3.873711970311069e-05,5.795024855201179e-05
0.26282051282051283,6,3.0312767592368506e-05,4.824763878818533e-05
0.26282051282051283,7,2.1827287306128242e-05,3.0473140469678723e-05
0.26282051282051283,8,4.2027311368675366e-05,9.1569826082695e-05
0.26282051282051283,9,3.208944739242723e-05,4.619292579283944e-05
0.2702564102564103,0,2.9753325245514963e-05,5.0577428562936434e-05
0.2702564102564103,1,9.88089727499363e-05,5.222946474598163e-05
0.2702564102564103,2,3.410944485517257e-05,5.317767017585237e-05
0.2702564102564103,3,2.3887077813208737e-05,4.6158394045650175e-05
0.2702564102564103,4,3.8304751134547876e-05,5.304228683332433e-05
0.2702564102564103,5,2.2148730780510106e-05,3.143919919815648e-05
0.2702564102564103,6,4.186030019527305e-05,6.389081980466392e-05
0.2702564102564103,7,2.3499553122091792e-05,4.022216057959196e-05
0.2702564102564103,8,4.184171071306241e-05,6.305646965206703e-05
0.2702564102564103,9,4.984123591760062e-05,6.407708770559722e-05
0.2776923076923077,0,3.806827171285455e-05,5.197582084886549e-05
0.2776923076923077,1,4.302098795319899e-05,4.5890089358229816e-05
0.2776923076923077,2,2.4513893834269445e-05,4.5966547382438e-05
0.2776923076923077,3,4.314256312533157e-05,5.1512927720210383e-05
0.2776923076923077,4,4.280339953788189e-05,8.551292592796255e-05
0.2776923076923077,5,3.123608754903477e-05,4.901141002513248e-05
0.2776923076923077,6,0.00011278583850408897,4.752374790998145e-05
0.2776923076923077,7,4.189750076528744e-05,5.282593265418395e-05
0.2776923076923077,8,2.8285374635867082e-05,4.630658483227838e-05
0.2776923076923077,9,6.56656225498021e-05,8.756516790614845e-05
0.28512820512820514,0,3.4303537884062025e-05,4.8583529326323244e-05
0.28512820512820514,1,4.195847790860954e-05,5.948186363729373e-05
0.28512820512820514,2,4.43612618686525e-05,8.057252216406776e-05
0.28512820512820514,3,6.89159562319786e-05,7.681389014030616e-05
0.28512820512820514,4,2.1368669976013432e-05,3.208468517138148e-05
0.28512820512820514,5,4.2274105185420163e-05,5.062052833023521e-05
0.28512820512820514,6,7.287243970083713e-05,0.0001089386604906294
0.28512820512820514,7,0.0001838926003265779,6.735215779980125e-05
0.28512820512820514,8,2.640943450212199e-05,6.0434073540199535e-05
0.28512820512820514,9,7.292654037567296e-05,8.292599539301565e-05
0.2925641025641026,0,2.0019037633636752e-05,3.23921891836411e-05
0.2925641025641026,1,4.684785497421865e-05,4.02795228796257e-05
0.2925641025641026,2,5.6397901909101286e-05,7.16681743616571e-05
0.2925641025641026,3,0.0004496465806962415,9.827489821240246e-05
0.2925641025641026,4,2.1226357954245173e-05,3.5171426072339756e-05
0.2925641025641026,5,2.3199732880625086e-05,3.791279679083074e-05
0.2925641025641026,6,5.297749754604488e-05,9.911195489747527e-05
0.2925641025641026,7,3.884157767004434e-05,3.447841644834281e-05
0.2925641025641026,8,6.0494518400299806e-05,4.460667030844579e-05
0.2925641025641026,9,5.1061578442160915e-05,7.829885023721883e-05
0.3,0,7.365102056104602e-05,0.00011228207111341498
0.3,1,0.00016107613596277355,6.188834033099434e-05
0.3,2,4.052184007201077e-05,4.795930888882445e-05
0.3,3,8.688040179974248e-05,4.156204082400259e-05
0.3,4,4.433322877662616e-05,7.469429506669052e-05
0.3,5,0.0001357260078657117,0.00014699073750072192
0.3,6,0.00024218229491894877,8.027164087306712e-05
0.3,7,6.995156336675618e-05,4.12298951798807e-05
0.3,8,3.307279251822551e-05,6.0975020788149385e-05
0.3,9,7.657191094513825e-05,0.00011333893986475653
